mouse,op,rev,block,hit,p.trials,cr,n.trials,exclude
1928,0,no,1,4,7,2,6,FALSE
1928,0,no,2,7,8,1,7,FALSE
1928,0,no,3,4,7,1,5,FALSE
1928,0,no,4,10,10,1,10,FALSE
1928,0,no,5,10,10,4,10,FALSE
1928,0,no,6,5,6,5,5,FALSE
1928,0,no,7,8,9,5,9,FALSE
1928,0,no,8,8,10,5,10,FALSE
1928,0,no,9,5,5,6,6,FALSE
1928,0,no,10,10,10,4,10,FALSE
1928,0,no,11,10,10,9,10,FALSE
1928,1,no,1,5,10,1,10,FALSE
1928,1,no,2,9,10,1,10,FALSE
1928,1,no,3,9,10,1,10,FALSE
1928,1,no,4,10,10,1,10,FALSE
1928,1,no,5,10,10,2,10,FALSE
1928,1,no,6,10,10,7,10,FALSE
1928,1,yes,1,0,9,2,10,FALSE
1928,1,yes,2,0,5,3,3,FALSE
1928,1,yes,3,0,9,4,10,FALSE
1928,1,yes,4,0,2,0,0,FALSE
1928,1,yes,5,2,9,6,10,FALSE
1928,1,yes,6,0,10,10,10,FALSE
1928,1,yes,7,0,1,0,0,FALSE
1928,1,yes,8,3,9,6,10,FALSE
1928,1,yes,9,6,10,3,10,FALSE
1928,1,yes,10,4,10,4,10,FALSE
1928,1,yes,11,1,7,2,5,FALSE
1928,1,yes,12,6,9,2,10,FALSE
1928,1,yes,13,10,10,0,10,FALSE
1928,1,yes,14,10,10,1,10,FALSE
1928,1,yes,15,10,10,4,10,FALSE
1928,1,yes,16,10,10,6,10,FALSE
1928,1,yes,17,7,10,8,8,FALSE
1928,1,yes,18,8,9,6,10,FALSE
1928,1,yes,19,10,10,8,10,FALSE
1928,2,no,1,8,10,1,10,FALSE
1928,2,no,2,10,10,0,10,FALSE
1928,2,no,3,10,10,0,10,FALSE
1928,2,no,4,10,10,1,10,FALSE
1928,2,no,5,10,10,4,10,FALSE
1928,2,no,6,10,10,6,10,FALSE
1928,2,no,7,9,10,7,10,FALSE
1928,2,no,8,0,2,2,2,FALSE
1928,2,no,9,10,10,9,10,FALSE
1928,2,yes,1,9,9,0,10,FALSE
1928,2,yes,2,10,10,0,10,FALSE
1928,2,yes,3,10,10,0,10,FALSE
1928,2,yes,4,10,10,0,10,FALSE
1928,2,yes,5,10,10,0,10,FALSE
1928,2,yes,6,10,10,2,10,FALSE
1928,2,yes,7,10,10,6,10,FALSE
1928,2,yes,8,10,10,7,10,FALSE
1928,3,no,1,10,10,5,10,FALSE
1928,3,no,2,10,10,10,10,FALSE
1928,3,yes,1,0,9,1,10,FALSE
1928,3,yes,2,0,9,4,9,FALSE
1928,3,yes,3,8,9,0,10,FALSE
1928,3,yes,4,10,10,0,10,FALSE
1928,3,yes,5,10,10,1,10,FALSE
1928,3,yes,6,10,10,1,10,FALSE
1928,3,yes,7,10,10,10,10,FALSE
1928,4,no,1,10,10,1,10,FALSE
1928,4,no,2,10,10,4,10,FALSE
1928,4,no,3,10,10,7,10,FALSE
1928,4,yes,1,8,9,1,10,FALSE
1928,4,yes,2,10,10,2,10,FALSE
1928,4,yes,3,10,10,4,10,FALSE
1928,4,yes,4,10,10,9,10,FALSE
1928,5,no,1,10,10,3,10,FALSE
1928,5,no,2,10,10,9,10,FALSE
1928,5,yes,1,9,9,4,10,FALSE
1928,5,yes,2,10,10,4,10,FALSE
1928,5,yes,3,9,10,8,10,FALSE
1928,6,no,1,10,10,4,10,FALSE
1928,6,no,2,10,10,7,10,FALSE
1928,6,yes,1,9,9,0,10,FALSE
1928,6,yes,2,10,10,7,10,FALSE
1928,7,no,1,10,10,6,10,FALSE
1928,7,no,2,10,10,8,10,FALSE
1928,7,yes,1,8,10,0,10,FALSE
1928,7,yes,2,10,10,2,10,FALSE
1928,7,yes,3,10,10,5,10,FALSE
1928,7,yes,4,10,10,7,10,FALSE
1928,8,no,1,10,10,7,10,FALSE
