mouse,op,rev,block,hit,p.trials,cr,n.trials,exclude
2023,0,no,1,6,10,8,10,FALSE
2023,0,no,2,6,10,5,10,FALSE
2023,0,no,3,5,10,9,10,FALSE
2023,0,no,4,0,1,1,1,FALSE
2023,0,no,5,3,10,8,10,FALSE
2023,0,no,6,2,10,8,10,FALSE
2023,0,no,7,2,10,10,10,FALSE
2023,0,no,8,2,10,10,10,FALSE
2023,0,no,9,1,10,9,10,FALSE
2023,0,no,10,10,10,9,10,FALSE
2023,1,no,1,10,10,8,10,FALSE
2023,1,yes,1,5,9,3,10,FALSE
2023,1,yes,2,1,10,6,10,FALSE
2023,1,yes,3,9,9,2,10,FALSE
2023,1,yes,4,10,10,1,10,FALSE
2023,1,yes,5,5,5,2,6,FALSE
2023,1,yes,6,5,5,1,4,FALSE
2023,1,yes,7,9,9,2,10,FALSE
2023,1,yes,8,10,10,6,10,FALSE
2023,1,yes,9,10,10,10,10,FALSE
2023,2,no,1,3,10,2,10,FALSE
2023,2,no,2,0,5,1,1,FALSE
2023,2,no,3,4,10,3,10,FALSE
2023,2,no,4,10,10,0,10,FALSE
2023,2,no,5,10,10,9,10,FALSE
2023,2,yes,1,9,9,0,10,FALSE
2023,2,yes,2,10,10,1,10,FALSE
2023,2,yes,3,10,10,1,10,FALSE
2023,2,yes,4,10,10,6,10,FALSE
2023,2,yes,5,10,10,8,10,FALSE
2023,3,no,1,10,10,6,10,FALSE
2023,3,no,2,10,10,9,10,FALSE
2023,3,yes,1,0,9,0,10,FALSE
2023,3,yes,2,0,10,1,10,FALSE
2023,3,yes,3,0,6,0,7,FALSE
2023,3,yes,4,1,9,5,10,FALSE
2023,3,yes,5,0,10,7,10,FALSE
2023,3,yes,6,0,10,9,10,FALSE
2023,3,yes,7,0,3,4,4,FALSE
2023,3,yes,8,8,9,3,10,FALSE
2023,3,yes,9,10,10,10,10,FALSE
2023,4,no,1,10,10,0,10,FALSE
2023,4,no,2,10,10,4,10,FALSE
2023,4,no,3,10,10,8,10,FALSE
2023,4,yes,1,9,9,2,10,FALSE
2023,4,yes,2,10,10,9,10,FALSE
2023,5,no,1,10,10,8,10,FALSE
2023,5,yes,1,9,9,4,10,FALSE
2023,5,yes,2,10,10,7,10,FALSE
2023,6,no,1,10,10,4,10,FALSE
2023,6,no,2,10,10,9,10,FALSE
2023,6,yes,1,9,9,1,10,FALSE
2023,6,yes,2,10,10,8,10,FALSE
2023,7,no,1,10,10,6,10,FALSE
2023,7,no,2,10,10,10,10,FALSE
2023,7,yes,1,9,9,7,10,FALSE
2023,8,no,1,10,10,8,10,FALSE
2023,8,yes,1,9,9,7,10,FALSE
2023,9,no,1,10,10,8,10,FALSE
2023,9,yes,1,9,9,7,10,FALSE
2023,10,no,1,10,10,6,10,FALSE
2023,10,no,2,10,10,9,10,FALSE
2023,10,yes,1,6,9,6,10,FALSE
2023,10,yes,2,10,10,10,10,FALSE
2023,11,no,1,10,10,8,10,FALSE
2023,11,yes,1,9,9,7,10,FALSE
2023,12,no,1,10,10,6,10,FALSE
2023,12,no,2,10,10,10,10,FALSE
2023,12,yes,1,9,9,9,10,FALSE
2023,13,no,1,10,10,8,10,FALSE
2023,13,yes,1,9,9,8,10,FALSE
2023,14,no,1,10,10,9,10,FALSE
2023,14,yes,1,9,9,7,10,FALSE
2023,15,no,1,10,10,8,10,FALSE
2023,15,yes,1,2,9,4,10,FALSE
2023,15,yes,2,10,10,5,10,FALSE
2023,15,yes,3,10,10,7,10,FALSE
2023,16,no,1,10,10,4,10,FALSE
2023,16,no,2,10,10,6,10,FALSE
2023,16,no,3,10,10,9,10,FALSE
2023,16,yes,1,3,9,5,10,FALSE
2023,16,yes,2,10,10,8,10,FALSE
2023,17,no,1,10,10,2,10,FALSE
2023,17,no,2,10,10,7,10,FALSE
2023,17,yes,1,9,9,2,10,FALSE
2023,17,yes,2,10,10,5,10,FALSE
2023,17,yes,3,10,10,10,10,FALSE
2023,18,no,1,10,10,8,10,FALSE
2023,18,yes,1,9,9,7,10,FALSE
2023,retest,no,1,10,10,0,10,FALSE
2023,retest,no,2,10,10,0,10,FALSE
2023,retest,no,3,10,10,2,10,FALSE
2023,retest,no,4,10,10,3,10,FALSE
2023,retest,no,5,10,10,8,10,FALSE
