mouse,op,rev,block,hit,p.trials,cr,n.trials,exclude
2184,0,no,1,10,10,3,10,FALSE
2184,0,no,2,0,3,4,4,FALSE
2184,0,no,3,9,10,5,10,FALSE
2184,0,no,4,5,10,7,10,FALSE
2184,0,no,5,2,6,3,4,FALSE
2184,0,no,6,8,10,4,10,FALSE
2184,0,no,7,8,10,4,10,FALSE
2184,0,no,8,10,10,7,10,FALSE
2184,1,no,1,8,10,3,10,FALSE
2184,1,no,2,6,10,3,10,FALSE
2184,1,no,3,5,8,4,9,FALSE
2184,1,no,4,10,10,1,10,FALSE
2184,1,no,5,8,10,6,10,FALSE
2184,1,no,6,1,4,5,6,FALSE
2184,1,no,7,10,10,0,10,FALSE
2184,1,no,8,10,10,1,10,FALSE
2184,1,no,9,9,10,2,10,FALSE
2184,1,no,10,5,5,2,3,FALSE
2184,1,no,11,10,10,2,10,FALSE
2184,1,no,12,9,10,8,10,FALSE
2184,1,yes,1,1,9,0,10,FALSE
2184,1,yes,2,1,10,7,10,FALSE
2184,1,yes,3,0,7,5,6,FALSE
2184,1,yes,4,1,9,8,10,FALSE
2184,1,yes,5,0,9,7,9,FALSE
2184,1,yes,6,0,9,8,10,FALSE
2184,1,yes,7,0,6,4,5,FALSE
2184,1,yes,8,0,9,10,10,FALSE
2184,1,yes,9,0,2,2,2,FALSE
2184,1,yes,10,0,6,3,5,FALSE
2184,1,yes,11,0,6,6,6,FALSE
2184,1,yes,12,5,9,6,10,FALSE
2184,1,yes,13,8,10,2,10,FALSE
2184,1,yes,14,6,8,2,8,FALSE
2184,1,yes,15,4,9,3,10,FALSE
2184,1,yes,16,7,10,5,10,FALSE
2184,1,yes,17,0,1,0,0,FALSE
2184,1,yes,18,4,9,1,10,FALSE
2184,1,yes,19,0,5,2,2,FALSE
2184,1,yes,20,5,9,1,10,FALSE
2184,1,yes,21,2,8,6,9,FALSE
2184,1,yes,22,9,9,2,10,FALSE
2184,1,yes,23,9,10,2,10,FALSE
2184,1,yes,24,1,2,1,1,FALSE
2184,1,yes,25,8,9,0,10,FALSE
2184,1,yes,26,8,10,7,10,FALSE
2184,1,yes,27,7,10,9,10,FALSE
2184,1,yes,28,2,2,2,2,FALSE
2184,1,yes,29,8,9,2,10,FALSE
2184,1,yes,30,9,10,5,10,FALSE
2184,1,yes,31,6,10,8,10,FALSE
2184,1,yes,32,10,10,10,10,FALSE
2184,2,no,1,9,10,6,10,FALSE
2184,2,no,2,8,10,7,10,FALSE
2184,2,no,3,9,10,7,10,FALSE
2184,2,no,4,3,5,2,3,FALSE
2184,2,no,5,10,10,7,10,FALSE
2184,2,yes,1,3,9,2,10,FALSE
2184,2,yes,2,10,10,0,10,FALSE
2184,2,yes,3,10,10,0,10,FALSE
2184,2,yes,4,5,7,3,6,FALSE
2184,2,yes,5,8,9,2,10,FALSE
2184,2,yes,6,10,10,0,10,FALSE
2184,2,yes,7,4,8,6,7,FALSE
2184,2,yes,8,9,9,0,10,FALSE
2184,2,yes,9,10,10,1,10,FALSE
2184,2,yes,10,10,10,4,10,FALSE
2184,2,yes,11,10,10,5,10,FALSE
2184,2,yes,12,3,3,2,2,FALSE
2184,2,yes,13,9,9,0,10,FALSE
2184,2,yes,14,10,10,2,10,FALSE
2184,2,yes,15,10,10,5,10,FALSE
2184,2,yes,16,10,10,9,10,FALSE
2184,3,no,1,10,10,0,10,FALSE
2184,3,no,2,10,10,8,10,FALSE
2184,3,yes,1,9,9,0,10,FALSE
2184,3,yes,2,10,10,0,10,FALSE
2184,3,yes,3,10,10,2,10,FALSE
2184,3,yes,4,10,10,8,10,FALSE
2184,4,no,1,10,10,1,10,FALSE
2184,4,no,2,10,10,4,10,FALSE
2184,4,no,3,9,10,10,10,FALSE
2184,4,yes,1,3,9,0,10,FALSE
2184,4,yes,2,10,10,0,10,FALSE
2184,4,yes,3,10,10,1,10,FALSE
2184,4,yes,4,7,10,10,10,FALSE
2184,5,no,1,10,10,0,10,FALSE
2184,5,no,2,10,10,7,10,FALSE
2184,5,yes,1,0,9,0,10,FALSE
2184,5,yes,2,10,10,0,10,FALSE
2184,5,yes,3,10,10,4,10,FALSE
2184,5,yes,4,8,10,8,10,FALSE
2184,5,yes,5,1,3,1,1,FALSE
2184,6,no,1,10,10,6,10,FALSE
2184,6,no,2,10,10,9,10,FALSE
2184,6,yes,1,1,9,1,10,FALSE
2184,6,yes,2,1,10,5,10,FALSE
2184,6,yes,3,0,2,1,3,FALSE
2184,6,yes,4,8,9,0,10,FALSE
2184,6,yes,5,10,10,2,10,FALSE
2184,6,yes,6,10,10,7,10,FALSE
2184,7,no,1,10,10,3,10,FALSE
2184,7,no,2,10,10,9,10,FALSE
2184,7,yes,1,8,9,0,10,FALSE
2184,7,yes,2,10,10,1,10,FALSE
2184,7,yes,3,8,10,7,10,FALSE
2184,7,yes,4,2,4,1,1,FALSE
2184,7,yes,5,6,9,1,10,FALSE
2184,7,yes,6,10,10,0,10,FALSE
2184,7,yes,7,10,10,7,10,FALSE
2184,8,no,1,1,10,6,10,FALSE
2184,8,no,2,10,10,9,10,FALSE
2184,8,yes,1,1,9,1,10,FALSE
2184,8,yes,2,0,10,4,10,FALSE
2184,8,yes,3,10,10,4,10,FALSE
2184,8,yes,4,3,3,2,3,FALSE
2184,8,yes,5,8,9,3,10,FALSE
2184,8,yes,6,10,10,7,10,FALSE
2184,9,no,1,9,10,5,10,FALSE
2184,9,no,2,10,10,8,10,FALSE
2184,9,yes,1,2,9,0,10,FALSE
2184,9,yes,2,10,10,1,10,FALSE
2184,9,yes,3,10,10,6,10,FALSE
2184,9,yes,4,7,8,4,7,FALSE
2184,9,yes,5,9,9,5,10,FALSE
2184,9,yes,6,10,10,10,10,FALSE
2184,10,no,1,10,10,8,10,FALSE
2184,10,yes,1,9,9,4,10,FALSE
2184,10,yes,2,10,10,7,10,FALSE
2184,11,no,1,9,10,8,10,FALSE
2184,11,yes,1,9,9,4,10,FALSE
2184,11,yes,2,9,10,7,10,FALSE
2184,11,yes,3,4,5,2,3,FALSE
2184,11,yes,4,8,9,1,10,FALSE
2184,11,yes,5,10,10,4,10,FALSE
2184,11,yes,6,10,10,10,10,FALSE
2184,12,no,1,10,10,4,10,FALSE
2184,12,no,2,8,10,9,10,FALSE
2184,12,yes,1,8,9,2,10,FALSE
2184,12,yes,2,7,10,8,10,FALSE
2184,12,yes,3,0,1,0,0,FALSE
2184,12,yes,4,8,9,3,10,FALSE
2184,12,yes,5,10,10,4,10,FALSE
2184,12,yes,6,4,7,8,8,FALSE
2184,12,yes,7,8,9,4,10,FALSE
2184,12,yes,8,10,10,4,10,FALSE
2184,12,yes,9,10,10,7,10,FALSE
2184,13,no,1,10,10,6,10,FALSE
2184,13,no,2,7,8,7,8,FALSE
2184,13,no,3,9,10,7,10,FALSE
2184,13,no,4,1,1,1,1,FALSE
2184,13,no,5,10,10,8,10,FALSE
2184,13,yes,1,8,9,5,10,FALSE
2184,13,yes,2,1,6,4,4,FALSE
2184,13,yes,3,9,9,2,10,FALSE
2184,13,yes,4,10,10,7,10,FALSE
2184,14,no,1,10,10,9,10,FALSE
2184,14,yes,1,9,9,1,10,FALSE
2184,14,yes,2,10,10,8,10,FALSE
2184,15,no,1,10,10,6,10,FALSE
2184,15,no,2,9,10,6,10,FALSE
2184,15,no,3,4,4,1,2,FALSE
2184,15,no,4,10,10,3,10,FALSE
2184,15,no,5,9,10,5,10,FALSE
2184,15,no,6,0,1,1,2,FALSE
2184,15,no,7,9,10,3,10,FALSE
2184,15,no,8,9,10,8,10,FALSE
2184,15,yes,1,9,9,2,10,FALSE
2184,15,yes,2,10,10,6,10,FALSE
2184,15,yes,3,10,10,9,10,FALSE
2184,16,no,1,9,10,7,10,FALSE
2184,16,no,2,10,10,7,10,FALSE
2184,16,yes,1,9,9,1,10,FALSE
2184,16,yes,2,10,10,5,10,FALSE
2184,16,yes,3,10,10,5,10,FALSE
2184,16,yes,4,10,10,7,10,FALSE
2184,17,no,1,10,10,9,10,FALSE
2184,17,yes,1,3,9,4,10,FALSE
2184,17,yes,2,10,10,3,10,FALSE
2184,17,yes,3,10,10,7,10,FALSE
2184,18,no,1,10,10,7,10,FALSE
2184,18,yes,1,3,9,6,10,FALSE
2184,18,yes,2,10,10,6,10,FALSE
2184,18,yes,3,10,10,10,10,FALSE
