mouse,op,rev,block,hit,p.trials,cr,n.trials,exclude
2291,0,no,1,8,10,1,10,FALSE
2291,0,no,2,6,10,3,10,FALSE
2291,0,no,3,2,2,0,1,FALSE
2291,0,no,4,10,10,2,10,FALSE
2291,0,no,5,2,6,2,6,FALSE
2291,0,no,6,10,10,0,10,FALSE
2291,0,no,7,10,10,0,10,FALSE
2291,0,no,8,10,10,0,10,FALSE
2291,0,no,9,10,10,1,10,FALSE
2291,0,no,10,8,10,3,10,FALSE
2291,0,no,11,3,3,0,2,FALSE
2291,0,no,12,10,10,2,10,FALSE
2291,0,no,13,10,10,0,10,FALSE
2291,0,no,14,8,10,4,10,FALSE
2291,0,no,15,0,1,0,0,FALSE
2291,0,no,16,10,10,1,10,FALSE
2291,0,no,17,9,10,2,10,FALSE
2291,0,no,18,5,5,0,2,FALSE
2291,0,no,19,9,10,2,10,FALSE
2291,0,no,20,10,10,2,10,FALSE
2291,0,no,21,9,10,6,10,FALSE
2291,0,no,22,10,10,8,10,FALSE
2291,1,no,1,10,10,1,10,FALSE
2291,1,no,2,10,10,2,10,FALSE
2291,1,no,3,10,10,7,10,FALSE
2291,1,yes,1,1,9,1,10,FALSE
2291,1,yes,2,0,6,4,5,FALSE
2291,1,yes,3,0,10,3,10,FALSE
2291,1,yes,4,0,6,3,5,FALSE
2291,1,yes,5,0,9,8,9,FALSE
2291,1,yes,6,1,9,8,9,FALSE
2291,1,yes,7,0,8,6,9,FALSE
2291,1,yes,8,3,10,5,10,FALSE
2291,1,yes,9,9,10,2,10,FALSE
2291,1,yes,10,10,10,0,10,FALSE
2291,1,yes,11,10,10,0,10,FALSE
2291,1,yes,12,10,10,0,10,FALSE
2291,1,yes,13,2,2,0,2,FALSE
2291,1,yes,14,10,10,1,10,FALSE
2291,1,yes,15,10,10,2,10,FALSE
2291,1,yes,16,10,10,6,10,FALSE
2291,1,yes,17,10,10,6,10,FALSE
2291,1,yes,18,10,10,8,10,FALSE
