mouse,op,rev,block,hit,p.trials,cr,n.trials,exclude
2025,0,no,1,10,10,0,10,FALSE
2025,0,no,2,10,10,3,10,FALSE
2025,0,no,3,8,10,9,10,FALSE
2025,1,no,1,10,10,1,10,FALSE
2025,1,no,2,10,10,1,10,FALSE
2025,1,no,3,9,10,0,10,FALSE
2025,1,no,4,10,10,0,10,FALSE
2025,1,no,5,9,10,4,10,FALSE
2025,1,no,6,9,9,6,10,FALSE
2025,1,no,7,10,10,4,10,FALSE
2025,1,no,8,9,10,2,10,FALSE
2025,1,no,9,10,10,7,10,FALSE
2025,1,yes,1,0,9,1,10,FALSE
2025,1,yes,2,0,10,7,10,FALSE
2025,1,yes,3,0,2,0,1,FALSE
2025,1,yes,4,1,9,5,10,FALSE
2025,1,yes,5,0,5,6,7,FALSE
2025,1,yes,6,1,9,1,10,FALSE
2025,1,yes,7,0,10,7,10,FALSE
2025,1,yes,8,0,8,6,8,FALSE
2025,1,yes,9,7,9,2,10,FALSE
2025,1,yes,10,9,10,1,10,FALSE
2025,1,yes,11,9,10,3,10,FALSE
2025,1,yes,12,10,10,1,10,FALSE
2025,1,yes,13,4,10,9,10,FALSE
2025,1,yes,14,5,10,10,10,FALSE
2025,1,yes,15,5,10,10,10,FALSE
2025,1,yes,16,10,10,7,10,FALSE
2025,2,no,1,10,10,2,10,FALSE
2025,2,no,2,10,10,10,10,FALSE
2025,2,yes,1,1,9,2,10,FALSE
2025,2,yes,2,0,10,10,10,FALSE
2025,2,yes,3,0,2,0,0,FALSE
2025,2,yes,4,7,9,0,10,FALSE
2025,2,yes,5,10,10,1,10,FALSE
2025,2,yes,6,10,10,0,10,FALSE
2025,2,yes,7,10,10,3,10,FALSE
2025,2,yes,8,10,10,7,10,FALSE
2025,3,no,1,10,10,6,10,FALSE
2025,3,no,2,10,10,10,10,FALSE
2025,3,yes,1,0,9,1,10,TRUE
2025,3,yes,2,0,10,7,10,TRUE
2025,4,no,1,6,10,2,10,FALSE
2025,4,no,2,10,10,8,10,FALSE
2025,4,yes,1,8,9,3,10,FALSE
2025,4,yes,2,10,10,5,10,FALSE
2025,4,yes,3,10,10,7,10,FALSE
2025,5,no,1,10,10,3,10,FALSE
2025,5,no,2,10,10,8,10,FALSE
2025,5,yes,1,9,9,4,10,FALSE
2025,5,yes,2,10,10,8,10,FALSE
2025,6,no,1,10,10,6,10,FALSE
2025,6,no,2,10,10,7,10,FALSE
2025,6,yes,1,8,9,2,10,FALSE
2025,6,yes,2,10,10,8,10,FALSE
2025,7,no,1,10,10,6,10,FALSE
2025,7,no,2,10,10,9,10,FALSE
2025,7,yes,1,9,9,1,10,FALSE
2025,7,yes,2,10,10,8,10,FALSE
2025,8,no,1,10,10,9,10,FALSE
2025,8,yes,1,9,9,8,10,FALSE
2025,9,no,1,10,10,9,10,FALSE
2025,9,yes,1,9,9,7,10,FALSE
2025,10,no,1,10,10,8,10,FALSE
2025,10,yes,1,9,9,8,10,FALSE
2025,11,no,1,10,10,7,10,FALSE
2025,11,yes,1,9,9,8,10,FALSE
2025,12,no,1,10,10,7,10,FALSE
2025,12,yes,1,9,9,1,10,FALSE
2025,12,yes,2,10,10,9,10,FALSE
2025,13,no,1,10,10,9,10,FALSE
2025,13,yes,1,9,9,2,10,FALSE
2025,13,yes,2,10,10,9,10,FALSE
2025,14,no,1,10,10,8,10,FALSE
2025,14,yes,1,9,9,9,10,FALSE
2025,15,no,1,10,10,8,10,FALSE
2025,15,yes,1,9,9,7,10,FALSE
2025,16,no,1,10,10,6,10,FALSE
2025,16,no,2,10,10,9,10,FALSE
2025,16,yes,1,7,9,7,10,FALSE
2025,16,yes,2,10,10,7,10,FALSE
2025,17,no,1,10,10,8,10,FALSE
2025,17,yes,1,9,9,4,10,FALSE
2025,17,yes,2,10,10,8,10,FALSE
2025,18,no,1,10,10,8,10,FALSE
2025,18,yes,1,9,9,5,10,FALSE
2025,18,yes,2,10,10,10,10,FALSE
2025,retest,no,1,10,10,2,10,FALSE
2025,retest,no,2,10,10,5,10,FALSE
2025,retest,no,3,10,10,9,10,FALSE
