mouse,op,rev,block,hit,p.trials,cr,n.trials,exclude
1854,0,no,1,10,10,3,10,FALSE
1854,0,no,2,10,10,1,10,FALSE
1854,0,no,3,9,9,4,9,FALSE
1854,0,no,4,10,10,5,10,FALSE
1854,0,no,5,10,10,3,10,FALSE
1854,0,no,6,10,10,9,10,FALSE
1854,1,no,1,9,10,2,10,FALSE
1854,1,no,2,10,10,4,10,FALSE
1854,1,no,3,10,10,3,10,FALSE
1854,1,no,4,10,10,8,10,FALSE
1854,1,yes,1,0,9,0,10,FALSE
1854,1,yes,2,0,10,3,10,FALSE
1854,1,yes,3,0,10,4,10,FALSE
1854,1,yes,4,1,10,4,10,FALSE
1854,1,yes,5,0,10,9,10,FALSE
1854,1,yes,6,0,2,0,0,FALSE
1854,1,yes,7,1,9,6,10,FALSE
1854,1,yes,8,0,10,5,10,FALSE
1854,1,yes,9,0,9,8,9,FALSE
1854,1,yes,10,1,9,10,10,FALSE
1854,1,yes,11,0,2,2,2,FALSE
1854,1,yes,12,1,9,9,10,FALSE
1854,1,yes,13,1,10,9,10,FALSE
1854,1,yes,14,0,5,2,2,FALSE
1854,1,yes,15,1,9,10,10,FALSE
1854,1,yes,16,2,9,7,10,FALSE
1854,1,yes,17,1,10,8,10,FALSE
1854,1,yes,18,1,10,8,10,FALSE
1854,1,yes,19,0,10,10,10,FALSE
1854,1,yes,20,0,10,10,10,FALSE
1854,1,yes,21,0,5,3,3,FALSE
1854,1,yes,22,3,9,7,10,FALSE
1854,1,yes,23,1,10,10,10,FALSE
1854,1,yes,24,0,10,9,10,FALSE
1854,1,yes,25,0,7,9,9,FALSE
1854,1,yes,26,0,9,10,10,FALSE
1854,1,yes,27,0,10,9,10,FALSE
1854,1,yes,28,1,10,9,10,FALSE
1854,1,yes,29,0,2,1,1,FALSE
1854,1,yes,30,0,9,9,10,FALSE
1854,1,yes,31,1,10,9,10,FALSE
1854,1,yes,32,2,9,9,10,FALSE
1854,1,yes,33,0,3,7,7,FALSE
1854,1,yes,34,2,9,10,10,FALSE
1854,1,yes,35,1,10,10,10,FALSE
1854,1,yes,36,0,1,2,2,FALSE
1854,1,yes,37,4,9,8,10,FALSE
1854,1,yes,38,3,10,8,10,FALSE
1854,1,yes,39,1,10,10,10,FALSE
1854,1,yes,40,0,10,10,10,FALSE
1854,1,yes,41,0,10,9,10,FALSE
1854,1,yes,42,3,10,9,10,FALSE
1854,1,yes,43,0,10,10,10,FALSE
1854,1,yes,44,0,1,1,1,FALSE
1854,1,yes,45,3,9,10,10,FALSE
1854,1,yes,46,1,10,10,10,FALSE
1854,1,yes,47,0,10,10,10,FALSE
1854,1,yes,48,0,6,6,6,FALSE
1854,1,yes,49,0,9,8,10,FALSE
1854,1,yes,50,2,10,9,10,FALSE
1854,1,yes,51,7,10,1,10,FALSE
1854,1,yes,52,10,10,3,10,FALSE
1854,1,yes,53,10,10,5,10,FALSE
1854,1,yes,54,10,10,9,10,FALSE
1854,2,no,1,9,10,0,10,FALSE
1854,2,no,2,10,10,7,10,FALSE
1854,2,yes,1,9,9,1,10,FALSE
1854,2,yes,2,10,10,0,10,FALSE
1854,2,yes,3,10,10,0,10,FALSE
1854,2,yes,4,10,10,5,10,FALSE
1854,2,yes,5,10,10,8,10,FALSE
1854,3,no,1,10,10,5,10,FALSE
1854,3,no,2,10,10,10,10,FALSE
1854,3,yes,1,0,1,6,10,FALSE
1854,3,yes,2,1,10,6,10,FALSE
1854,3,yes,3,0,10,9,10,FALSE
1854,3,yes,4,0,10,10,10,FALSE
1854,3,yes,5,0,2,2,2,FALSE
1854,3,yes,6,8,9,1,10,FALSE
1854,3,yes,7,9,10,10,10,FALSE
1854,4,no,1,10,10,5,10,FALSE
1854,4,no,2,10,10,6,10,FALSE
1854,4,no,3,10,10,10,10,FALSE
1854,4,yes,1,9,9,1,10,FALSE
1854,4,yes,2,10,10,1,10,FALSE
1854,4,yes,3,10,10,6,10,FALSE
1854,4,yes,4,10,10,5,10,FALSE
1854,4,yes,5,10,10,7,10,FALSE
1854,5,no,1,10,10,3,10,FALSE
1854,5,no,2,10,10,7,10,FALSE
1854,5,yes,1,9,9,0,10,FALSE
1854,5,yes,2,10,10,1,10,FALSE
1854,5,yes,3,10,10,4,10,FALSE
1854,5,yes,4,8,10,9,10,FALSE
1854,6,no,1,10,10,2,10,FALSE
1854,6,no,2,10,10,8,10,FALSE
1854,6,yes,1,1,9,5,10,FALSE
1854,6,yes,2,7,10,4,10,FALSE
1854,6,yes,3,10,10,8,10,FALSE
1854,7,no,1,10,10,3,10,FALSE
1854,7,no,2,10,10,6,10,FALSE
1854,7,no,3,10,10,10,10,FALSE
1854,7,yes,1,9,9,7,10,FALSE
1854,8,no,1,2,10,10,10,FALSE
1854,8,no,2,10,10,8,10,FALSE
1854,8,yes,1,8,9,4,10,FALSE
1854,8,yes,2,10,10,7,10,FALSE
