mouse,op,rev,block,hit,p.trials,cr,n.trials,exclude
2186,0,no,1,10,10,1,10,FALSE
2186,0,no,2,10,10,1,10,FALSE
2186,0,no,3,10,10,1,10,FALSE
2186,0,no,4,9,10,0,10,FALSE
2186,0,no,5,5,10,3,10,FALSE
2186,0,no,6,0,1,0,0,FALSE
2186,0,no,7,7,10,9,10,FALSE
2186,0,no,8,2,6,4,5,FALSE
2186,0,no,9,7,10,5,10,FALSE
2186,0,no,10,10,10,6,10,FALSE
2186,0,no,11,10,10,10,10,FALSE
2186,1,no,1,10,10,7,10,FALSE
2186,1,yes,1,1,9,4,10,FALSE
2186,1,yes,2,0,6,1,5,FALSE
2186,1,yes,3,1,8,7,8,FALSE
2186,1,yes,4,0,9,7,10,FALSE
2186,1,yes,5,2,9,7,10,FALSE
2186,1,yes,6,8,10,3,10,FALSE
2186,1,yes,7,10,10,1,10,FALSE
2186,1,yes,8,9,10,1,10,FALSE
2186,1,yes,9,9,9,1,10,FALSE
2186,1,yes,10,10,10,0,10,FALSE
2186,1,yes,11,10,10,2,10,FALSE
2186,1,yes,12,10,10,10,10,FALSE
2186,2,no,1,10,10,0,10,FALSE
2186,2,no,2,10,10,6,10,FALSE
2186,2,no,3,10,10,10,10,FALSE
2186,2,yes,1,6,9,0,10,FALSE
2186,2,yes,2,10,10,0,10,FALSE
2186,2,yes,3,9,10,0,10,FALSE
2186,2,yes,4,7,10,5,10,FALSE
2186,2,yes,5,7,10,4,10,FALSE
2186,2,yes,6,6,10,5,10,FALSE
2186,2,yes,7,9,10,7,10,FALSE
2186,2,yes,8,10,10,3,10,FALSE
2186,2,yes,9,5,5,1,5,FALSE
2186,2,yes,10,9,9,0,10,FALSE
2186,2,yes,11,10,10,5,10,FALSE
2186,2,yes,12,9,10,10,10,FALSE
2186,3,no,1,10,10,4,10,FALSE
2186,3,no,2,10,10,9,10,FALSE
2186,3,yes,1,5,9,0,10,TRUE
2186,3,yes,2,10,10,0,10,TRUE
2186,3,yes,3,10,10,0,10,TRUE
2186,3,yes,4,10,10,3,10,TRUE
2186,3,yes,5,9,10,4,10,TRUE
2186,3,yes,6,10,10,6,10,TRUE
2186,3,yes,7,5,7,5,7,TRUE
2186,4,no,1,10,10,7,10,FALSE
2186,4,yes,1,0,9,2,10,FALSE
2186,4,yes,2,0,10,5,10,FALSE
2186,4,yes,3,0,4,1,1,FALSE
2186,4,yes,4,6,9,5,10,FALSE
2186,4,yes,5,10,10,7,10,FALSE
2186,5,no,1,10,10,2,10,FALSE
2186,5,no,2,9,10,8,10,FALSE
2186,5,yes,1,0,9,2,10,FALSE
2186,5,yes,2,8,10,6,10,FALSE
2186,5,yes,3,10,10,9,10,FALSE
2186,6,no,1,8,10,9,10,FALSE
2186,6,yes,1,9,9,5,10,FALSE
2186,6,yes,2,9,10,9,10,FALSE
2186,7,no,1,10,10,7,10,FALSE
2186,7,yes,1,9,9,5,10,FALSE
2186,7,yes,2,10,10,8,10,FALSE
2186,8,no,1,10,10,7,10,FALSE
2186,8,yes,1,7,9,9,10,FALSE
2186,9,no,1,10,10,7,10,FALSE
2186,9,yes,1,8,9,5,10,FALSE
2186,9,yes,2,10,10,8,10,FALSE
2186,10,no,1,8,10,6,10,FALSE
2186,10,no,2,10,10,8,10,FALSE
2186,10,yes,1,8,9,9,10,FALSE
2186,11,no,1,10,10,8,10,FALSE
2186,11,yes,1,8,9,8,10,FALSE
2186,12,no,1,10,10,6,10,FALSE
2186,12,no,2,10,10,8,10,FALSE
2186,12,yes,1,9,9,8,10,FALSE
2186,13,no,1,10,10,9,10,FALSE
2186,13,yes,1,9,9,9,10,FALSE
2186,14,no,1,10,10,8,10,FALSE
2186,14,yes,1,8,9,8,10,FALSE
2186,15,no,1,10,10,8,10,FALSE
2186,15,yes,1,9,9,6,10,FALSE
2186,15,yes,2,10,10,10,10,FALSE
2186,16,no,1,10,10,6,10,FALSE
2186,16,no,2,10,10,10,10,FALSE
2186,16,yes,1,9,9,9,10,FALSE
2186,17,no,1,2,10,7,10,FALSE
2186,17,no,2,5,10,0,10,FALSE
2186,17,no,3,10,10,5,10,FALSE
2186,17,no,4,10,10,6,10,FALSE
2186,17,no,5,10,10,9,10,FALSE
2186,17,yes,1,9,9,8,10,FALSE
2186,18,no,1,10,10,7,10,FALSE
2186,18,yes,1,9,9,7,10,FALSE
2186,retest,no,1,10,10,0,10,FALSE
2186,retest,no,2,10,10,1,10,FALSE
2186,retest,no,3,10,10,6,10,FALSE
2186,retest,no,4,10,10,10,10,FALSE
