mouse,op,rev,block,hit,p.trials,cr,n.trials,exclude
2142,0,no,1,10,10,0,10,FALSE
2142,0,no,2,10,10,5,10,FALSE
2142,0,no,3,8,10,7,10,FALSE
2142,0,no,4,9,10,9,10,FALSE
2142,1,no,1,9,10,5,10,FALSE
2142,1,no,2,9,10,6,10,FALSE
2142,1,no,3,10,10,10,10,FALSE
2142,1,yes,1,1,9,0,10,FALSE
2142,1,yes,2,6,10,0,10,FALSE
2142,1,yes,3,10,10,0,10,FALSE
2142,1,yes,4,10,10,0,10,FALSE
2142,1,yes,5,10,10,2,10,FALSE
2142,1,yes,6,10,10,5,10,FALSE
2142,1,yes,7,10,10,7,10,FALSE
2142,2,no,1,9,10,6,10,FALSE
2142,2,no,2,10,10,5,10,FALSE
2142,2,no,3,10,10,7,10,FALSE
2142,2,yes,1,0,9,2,10,FALSE
2142,2,yes,2,10,10,2,10,FALSE
2142,2,yes,3,10,10,8,10,FALSE
2142,3,no,1,10,10,2,10,FALSE
2142,3,no,2,10,10,3,10,FALSE
2142,3,no,3,10,10,3,10,FALSE
2142,3,no,4,10,10,9,10,FALSE
2142,3,yes,1,6,9,0,10,FALSE
2142,3,yes,2,10,10,2,10,FALSE
2142,3,yes,3,10,10,4,10,FALSE
2142,3,yes,4,10,10,5,10,FALSE
2142,3,yes,5,9,10,9,10,FALSE
2142,4,no,1,10,10,1,10,FALSE
2142,4,no,2,10,10,6,10,FALSE
2142,4,no,3,10,10,9,10,FALSE
2142,4,yes,1,2,9,5,10,FALSE
2142,4,yes,2,10,10,7,10,FALSE
2142,5,no,1,10,10,4,10,FALSE
2142,5,no,2,10,10,6,10,FALSE
2142,5,no,3,10,10,6,10,FALSE
2142,5,no,4,10,10,8,10,FALSE
2142,5,yes,1,9,9,4,10,FALSE
2142,5,yes,2,10,10,8,10,FALSE
2142,6,no,1,10,10,2,10,FALSE
2142,6,no,2,10,10,7,10,FALSE
2142,6,yes,1,8,9,5,10,FALSE
2142,6,yes,2,10,10,8,10,FALSE
2142,7,no,1,10,10,2,10,FALSE
2142,7,no,2,10,10,7,10,FALSE
2142,7,yes,1,9,9,6,10,FALSE
2142,7,yes,2,10,10,10,10,FALSE
2142,8,no,1,10,10,8,10,FALSE
2142,8,yes,1,9,9,1,10,FALSE
2142,8,yes,2,10,10,10,10,FALSE
2142,9,no,1,10,10,4,10,FALSE
2142,9,no,2,10,10,9,10,FALSE
2142,9,yes,1,7,9,4,10,FALSE
2142,9,yes,2,10,10,10,10,FALSE
2142,10,no,1,10,10,4,10,FALSE
2142,10,no,2,10,10,8,10,FALSE
2142,10,yes,1,9,9,6,10,FALSE
2142,10,yes,2,10,10,9,10,FALSE
2142,11,no,1,10,10,7,10,FALSE
2142,11,yes,1,8,9,6,10,FALSE
2142,11,yes,2,10,10,10,10,FALSE
2142,12,no,1,6,10,2,10,FALSE
2142,12,no,2,9,10,2,10,FALSE
2142,12,no,3,10,10,3,10,FALSE
2142,12,no,4,10,10,4,10,FALSE
2142,12,no,5,10,10,8,10,FALSE
2142,12,yes,1,8,9,1,10,FALSE
2142,12,yes,2,10,10,7,10,FALSE
2142,13,no,1,10,10,5,10,FALSE
2142,13,no,2,10,10,9,10,FALSE
2142,13,yes,1,10,10,7,10,FALSE
2142,14,no,1,9,10,7,10,FALSE
2142,14,no,2,10,10,9,10,FALSE
2142,14,yes,1,9,9,8,10,FALSE
2142,15,no,1,10,10,7,10,FALSE
2142,15,yes,1,9,9,5,10,FALSE
2142,15,yes,2,10,10,10,10,FALSE
2142,16,no,1,10,10,4,10,FALSE
2142,16,no,2,10,10,10,10,FALSE
2142,16,yes,1,9,9,6,10,FALSE
2142,16,yes,2,10,10,10,10,FALSE
2142,17,no,1,9,10,4,10,FALSE
2142,17,no,2,10,10,7,10,FALSE
2142,17,yes,1,9,9,4,10,FALSE
2142,17,yes,2,10,10,9,10,FALSE
2142,18,no,1,10,10,7,10,TRUE
2142,18,yes,1,8,9,1,10,TRUE
2142,18,yes,2,10,10,5,10,TRUE
2142,18,yes,3,10,10,7,10,TRUE
2142,retest,no,1,4,10,1,10,TRUE
2142,retest,no,2,2,10,5,10,TRUE
2142,retest,no,3,7,10,4,10,TRUE
2142,retest,no,4,1,10,8,10,TRUE
2142,retest,no,5,2,10,8,10,TRUE
2142,retest,no,6,6,10,6,10,TRUE
2142,retest,no,7,0,5,2,2,TRUE
2142,retest,no,8,4,10,6,10,TRUE
2142,retest,no,9,3,8,9,10,TRUE
2142,retest,no,10,6,10,7,10,TRUE
2142,retest,no,11,6,10,4,10,TRUE
2142,retest,no,12,2,8,3,10,TRUE
