mouse,op,rev,block,hit,p.trials,cr,n.trials,exclude
1967,0,no,1,9,10,3,10,FALSE
1967,0,no,2,10,10,0,10,FALSE
1967,0,no,3,10,10,1,10,FALSE
1967,0,no,4,10,10,3,10,FALSE
1967,0,no,5,10,10,6,10,FALSE
1967,0,no,6,4,4,1,2,FALSE
1967,0,no,7,10,10,5,10,FALSE
1967,0,no,8,10,10,7,10,FALSE
1967,1,no,1,10,10,2,10,FALSE
1967,1,no,2,10,10,4,10,FALSE
1967,1,no,3,10,10,5,10,FALSE
1967,1,no,4,3,4,2,2,FALSE
1967,1,no,5,9,10,9,10,FALSE
1967,1,yes,1,0,9,5,10,FALSE
1967,1,yes,2,0,3,2,2,FALSE
1967,1,yes,3,1,4,2,6,FALSE
1967,1,yes,4,0,4,1,2,FALSE
1967,1,yes,5,0,3,1,4,FALSE
1967,1,yes,6,1,8,6,8,FALSE
1967,1,yes,7,0,8,6,8,FALSE
1967,1,yes,8,0,4,3,3,FALSE
1967,1,yes,9,0,7,6,7,FALSE
1967,1,yes,10,2,4,4,6,FALSE
1967,1,yes,11,9,9,2,10,FALSE
1967,1,yes,12,10,10,1,10,FALSE
1967,1,yes,13,10,10,8,10,FALSE
1967,2,no,1,9,10,0,10,FALSE
1967,2,no,2,10,10,5,10,FALSE
1967,2,no,3,6,10,9,10,FALSE
1967,2,no,4,1,4,4,4,FALSE
1967,2,no,5,10,10,9,10,FALSE
1967,2,yes,1,0,7,1,7,FALSE
1967,2,yes,2,7,9,2,10,FALSE
1967,2,yes,3,10,10,1,10,FALSE
1967,2,yes,4,7,7,6,8,FALSE
1967,2,yes,5,8,9,3,10,FALSE
1967,2,yes,6,10,10,8,10,FALSE
1967,3,no,1,9,10,8,10,FALSE
1967,3,yes,1,5,9,0,10,FALSE
1967,3,yes,2,8,10,6,10,FALSE
1967,3,yes,3,3,3,4,5,FALSE
1967,3,yes,4,9,9,1,10,FALSE
1967,3,yes,5,10,10,6,10,FALSE
1967,3,yes,6,9,10,10,10,FALSE
1967,4,no,1,10,10,8,10,FALSE
1967,4,yes,1,9,9,4,10,FALSE
1967,4,yes,2,10,10,10,10,FALSE
1967,5,no,1,9,10,5,10,FALSE
1967,5,no,2,10,10,7,10,FALSE
1967,5,yes,1,1,9,3,10,FALSE
1967,5,yes,2,0,8,5,6,FALSE
1967,5,yes,3,9,9,3,10,FALSE
1967,5,yes,4,10,10,8,10,FALSE
1967,6,no,1,10,10,6,10,FALSE
1967,6,no,2,10,10,10,10,FALSE
1967,6,yes,1,0,9,2,10,FALSE
1967,6,yes,2,0,2,2,2,FALSE
1967,6,yes,3,0,10,4,10,FALSE
1967,6,yes,4,0,4,4,4,FALSE
1967,6,yes,5,0,10,7,10,FALSE
1967,6,yes,6,0,1,0,0,FALSE
1967,6,yes,7,10,10,8,10,FALSE
